Date,Amount,Transaction,Category
27/03/2025,-288,Yarravalleywater Yvow,Utility
11/06/2025,-40,Target Westfield,Retails
02/10/2025,-197,Barwon Water,Utility
22/07/2024,-1500,Virgin Airlines,Travel & Transport
27/01/2026,-21,Woolworths Great Western,Supplies & Essentials
15/01/2025,-62,Service Nsw,Government
19/06/2026,6372,From Metro Art Galary,Dining & Leisure
11/11/2024,167,Yellow Bird Painting,Creative
01/12/2025,-33,Aldi Mobile,Retails
04/11/2024,2067,Transfer From Macquarie University,Education
17/12/2024,-422,Fund Transfer,Finance
22/04/2024,-17,Just Ripe Northland,Dining & Leisure
25/05/2026,-19,Woolworths Westfield Camp,Supplies & Essentials
27/08/2025,-8,Aldi Stores,Supplies & Essentials
14/07/2025,-303,Body Sculpting Clinic,Health & Wellness
24/12/2024,-51,Sushi Hub,Dining & Leisure
14/05/2025,-202,Les Family Clinic,Health & Wellness
06/01/2025,-2816,Payment To Fmc,Miscellaneous
30/12/2025,-5,Sumbul Meats Poultry,Dining & Leisure
04/10/2024,-70,Aust Hlth Mgmt Grp P L,Miscellaneous
07/10/2024,5073,Transfer From Anz Bank,Utility
18/05/2026,-1,Coles,Supplies & Essentials
20/10/2025,-35,Velocity Australia,Travel & Transport
30/06/2026,-22,Daiso Westfield,Retails
08/12/2025,-2,Ezymart Central,Supplies & Essentials
12/11/2025,-3895,Agoda Com Aluna Hotel,Travel & Transport
22/10/2025,-5,Woolworths Great Western,Supplies & Essentials
23/07/2024,-137,Aldi Stores,Supplies & Essentials
21/01/2026,-114,Chemist Warehouse Westfield,Health & Wellness
01/10/2024,-16,Uber Trip Sydney,Travel & Transport
09/02/2026,-17,Yummy Saigon Summer,Dining & Leisure
03/03/2026,-7,Coles,Supplies & Essentials
18/11/2025,-992,Fund Transfer,Finance
