Date,Amount,Transaction
30/07/2025,-4.36,BACI PASTA CAFE
30/12/2025,-9.0,KMART
07/01/2026,-197.79,BARWON WATER 1
15/01/2025,-62.65,TONG LI SUPERMARKETS
12/11/2025,-3895.93,AGODA.COM ALUNA HOTEL
02/08/2024,-70.05,AUST HLTH MGMT GRP P/L    
08/07/2025,-24.0,xxx MOBILE BANKING PAYMENT 657086 TO 
07/10/2024,6073.71,TRANSFER FROM CBA  452
21/01/2026,-23.37,ALDI STORES    
19/06/2026,2000.38,TRANSFER FROM Metro Art Galary
13/01/2025,-30.89,BIG APPLE         
08/10/2024,-46.0,WOOLWORTHS/GREAT WESTERN  
18/05/2026,-1.0,COLES 7663     
22/07/2024,-500.0,xxx MOBILE BANKING PAYMENT 614535 TO 
19/01/2026,550.73,TRANSFER FROM CBA  614
07/11/2024,-70.44,PAYMENT TO OCCOMPTYLTD      628129355
17/07/2024,-313.0,xxx BANKING FUNDS TFER TRANSFER 929335  TO CC
24/12/2025,-11.5,SUSHI HUB 
07/04/2026,2375.63,TRANSFER FROM CBA  641
08/07/2025,-24.23,COLES 7663     
22/09/2025,-946.0,xxx MOBILE BANKING PAYMENT 461837 TO Adviser
13/08/2024,-1.87,VISA DEBIT PURCHASE CARD 6585 WOOLWORTHS/STRATHFIELD PL STRATHFIELD
09/12/2024,-499.0,xxx BANKING FUNDS TFER TRANSFER 667351  TO CC
14/05/2025,-202.86,xxx BANKING FUNDS TFER TRANSFER 997368  TO CC
27/12/2024,-2325.9,PAYMENT TO xxx           LOAN PAYMENT
15/04/2025,1000.0,PAYMENT FROM xxx
19/08/2025,-7.67,TONG LI SUPERMARKETS
02/10/2025,-197.79,xxx INTERNET BANKING BPAY BARWON WATER
25/11/2025,-17.7,SOUL ORIGINS              MASCOT
23/12/2025,-3.82,TONG LI SUPERMARKETS
06/01/2025,-2816.6,PAYMENT TO FMC 
23/06/2025,-21.32,Mumu Life 
30/12/2025,-5.04,Sumbul Meats & Poultry 
15/07/2024,-800.0,xxx MOBILE BANKING PAYMENT 136690 TO 
12/05/2026,-43.7,WOOLWORTHS/GREAT WESTERN  
11/11/2024,-39.0,KMART
29/07/2025,-24.62,Zag Seafood    
01/12/2025,-23.0,MED*ALDIMOBILE            
20/04/2026,-100.0,xxx MOBILE BANKING PAYMENT 447094 TO 
07/01/2025,-11.24,UBER* TRIP                SYDNEY
22/10/2025,-5.4,WOOLWORTHS/GREAT WESTERN  
12/06/2025,-8.0,WESTFIELD 
20/10/2025,-35.0,VELOCITY FREQ FLYER       
28/10/2024,4778.9,TRANSFER FROM CBA  461
04/10/2024,-70.05,AUST HLTH MGMT GRP P/L    
10/12/2025,-2.54,EzyMart Central Stn       
22/10/2025,-8.28,TONG LI SUPERMARKETS
27/03/2025,-188.91,YARRAVALLEYWATER YVOW     
30/06/2026,-22.3,Daiso     
02/06/2025,2375.63,TRANSFER FROM CBA  532
13/04/2026,-517.0,xxx BANKING FUNDS TFER TRANSFER 077633  TO CC
29/05/2026,5.0,REVERSAL OF ACCOUNT SERVICING FEE MINIMUM $2000 IN DEPOSITS RECEIVED
13/01/2025,-60.0,TRANSPORTFORNSW OPAL
04/03/2026,-50.34,SPEEDWAY WENTY PTY L      
13/04/2026,-5.0,xxx MOBILE BANKING PAYMENT 941026 
09/02/2026,-17.28,SMP*SAIGON SUMMER
26/03/2026,-175.26,PAYMENT TO SRO-PAO 
12/06/2025,-20.14,TONG LI SUPERMARKETS
17/12/2024,-422.0,xxx BANKING FUNDS TFER TRANSFER 922073  TO CC
07/04/2026,-353.99,EFTPOS ALDI STORES                 
